ACCIDENT_DATE,ACCIDENT_NO,ACCIDENT_TIME,ACCIDENT_TYPE,ALCOHOLTIME,ALCOHOL_RELATED,BICYCLIST,DAY_OF_WEEK,DCA_CODE,DEG_URBAN_ALL,DEG_URBAN_NAME,DRIVER,FATALITY,FEMALES,HEAVYVEHICLE,HIT_RUN_FLAG,INJ_OR_FATAL,LATITUDE,LGA_NAME,LGA_NAME_ALL,LIGHT_CONDITION,LONGITUDE,MALES,MOTORCYCLE,MOTORIST,NODE_TYPE,NONINJURED,NO_OF_VEHICLES,Number of Records,OBJECTID,OLD_DRIVER,OLD_PEDESTRIAN,OTHERINJURY,PASSENGERVEHICLE,PASSENGER,PEDESTRIAN,PED_CYCLIST_13_18,PED_CYCLIST_5_12,PILLION,POLICE_ATTEND,PUBLICVEHICLE,REGION_NAME,REGION_NAME_ALL,RMA,RMA_ALL,ROAD_GEOMETRY,RUN_OFFROAD,SERIOUSINJURY,SEVERITY,SPEED_ZONE,SRNS,SRNS_ALL,STAT_DIV_NAME,TOTAL_PERSONS,UNKNOWN,UNLICENCSED,YOUNG_DRIVER
5/1/18,T20180000274,10.20.00,Collision with vehicle,No,No,0,Friday,RIGHT NEAR (INTERSECTIONS ONLY),MELB_URBAN,MELB_URBAN,2,0,2,0,No,4,-38.11269,FRANKSTON,FRANKSTON,Day,145.1575,0,0,0,Intersection,0,2,1,3462322,0,0,3,2,2,0,0,0,0,Yes,0,METROPOLITAN SOUTH EAST REGION,METROPOLITAN SOUTH EAST REGION,Arterial Highway,"Arterial Highway,Arterial Other",Cross intersection,No,1,Serious injury accident,80 km/hr,,,Metro,4,0,0,0
5/1/18,T20180000278,11.00.00,Collision with vehicle,No,No,0,Friday,HEAD ON (NOT OVERTAKING),MELB_URBAN,MELB_URBAN,2,0,1,0,No,1,-37.67568,WHITTLESEA,WHITTLESEA,Day,145.03761,1,0,0,Non-Intersection,1,2,1,3462325,0,0,1,1,0,0,0,0,0,Yes,0,METROPOLITAN NORTH WEST REGION,METROPOLITAN NORTH WEST REGION,Local Road,Local Road,Not at intersection,No,0,Other injury accident,60 km/hr,,,Metro,2,0,0,0
4/1/18,T20180000279,12.40.00,Collision with a fixed object,No,No,0,Thursday,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,MELB_URBAN,MELB_URBAN,1,0,5,0,No,2,-38.21082,MORNINGTON PENINSULA,MORNINGTON PENINSULA,Day,145.11073,0,0,0,Non-Intersection,3,1,1,3462326,0,0,2,1,4,0,0,0,0,Yes,0,METROPOLITAN SOUTH EAST REGION,METROPOLITAN SOUTH EAST REGION,Arterial Highway,Arterial Highway,Not at intersection,Yes,0,Other injury accident,100 km/hr,C,C,Metro,5,0,0,0
5/1/18,T20180000281,12.24.00,Collision with vehicle,No,No,0,Friday,RIGHT THROUGH,MELB_URBAN,MELB_URBAN,1,0,2,0,No,3,-37.89339,KNOX,KNOX,Day,145.31075,1,1,1,Intersection,0,2,1,3462328,1,0,2,1,1,0,0,0,0,Yes,0,METROPOLITAN SOUTH EAST REGION,METROPOLITAN SOUTH EAST REGION,Arterial Highway,"Arterial Highway,Local Road",Not at intersection,No,1,Serious injury accident,80 km/hr,,,Metro,3,0,0,0
5/1/18,T20180000284,11.55.00,Collision with vehicle,No,No,0,Friday,REAR END(VEHICLES IN SAME LANE),MELB_URBAN,MELB_URBAN,2,0,3,0,No,1,-37.80804,MAROONDAH,MAROONDAH,Day,145.25201,2,0,0,Non-Intersection,4,2,1,3462330,1,0,0,2,3,0,0,0,0,Yes,0,METROPOLITAN SOUTH EAST REGION,METROPOLITAN SOUTH EAST REGION,Arterial Other,Arterial Other,Not at intersection,No,1,Serious injury accident,70 km/hr,,,Metro,5,0,0,0
5/1/18,T20180000287,14.58.00,Collision with vehicle,No,No,0,Friday,REAR END(VEHICLES IN SAME LANE),MELB_URBAN,MELB_URBAN,2,0,1,1,No,1,-37.87703,STONNINGTON,STONNINGTON,Day,145.07341,1,0,0,Non-Intersection,2,3,1,3462371,0,0,0,1,0,0,0,0,0,Yes,0,METROPOLITAN SOUTH EAST REGION,METROPOLITAN SOUTH EAST REGION,Freeway,Freeway,Not at intersection,No,1,Serious injury accident,100 km/hr,M,M,Metro,3,1,0,0
5/1/18,T20180000290,15.45.00,Struck Pedestrian,No,No,0,Friday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,MELB_URBAN,MELB_URBAN,1,0,3,0,No,2,-37.92685,MONASH,MONASH,Day,145.11941,3,0,0,Non-Intersection,4,1,1,3462372,0,0,2,1,3,2,0,0,0,Yes,0,METROPOLITAN SOUTH EAST REGION,METROPOLITAN SOUTH EAST REGION,Arterial Other,Arterial Other,Not at intersection,No,0,Other injury accident,40 km/hr,,,Metro,6,0,0,0
5/1/18,T20180000291,17.15.00,Collision with a fixed object,Yes,No,0,Friday,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,MELB_URBAN,MELB_URBAN,1,0,0,0,No,1,-38.37215,MORNINGTON PENINSULA,MORNINGTON PENINSULA,Day,144.88516,1,0,0,Intersection,0,1,1,3462373,1,0,0,1,0,0,0,0,0,Yes,0,METROPOLITAN SOUTH EAST REGION,METROPOLITAN SOUTH EAST REGION,Local Road,Local Road,Cross intersection,Yes,1,Serious injury accident,50 km/hr,,,Metro,1,0,0,0
5/1/18,T20180000294,18.14.00,Collision with vehicle,Yes,No,0,Friday,RIGHT THROUGH,TOWNS,TOWNS,2,0,2,0,No,5,-37.71138,EAST GIPPSLAND,EAST GIPPSLAND,Day,148.45794,1,0,0,Intersection,0,2,1,3462375,0,0,5,2,3,0,0,0,0,Yes,0,EASTERN REGION,"EASTERN REGION,EASTERN REGION",Freeway,"Freeway,Arterial Other",T intersection,No,0,Other injury accident,100 km/hr,A,"A,C",Country,5,0,0,0
5/1/18,T20180000296,17.30.00,Collision with vehicle,Yes,No,0,Friday,RIGHT THROUGH,MELB_URBAN,MELB_URBAN,2,0,4,0,No,1,-37.66851,WHITTLESEA,WHITTLESEA,Day,145.06212,2,0,0,Intersection,5,2,1,3462376,0,0,1,2,4,0,0,0,0,Yes,0,METROPOLITAN NORTH WEST REGION,METROPOLITAN NORTH WEST REGION,Arterial Other,"Arterial Other,Local Road",T intersection,No,0,Other injury accident,50 km/hr,,,Metro,6,0,0,0
